title,price,rating,reviews,availability,brand,category,off,bought
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","56,790.00",4.1 out of 5 stars,51 ratings,In stock,Apple,SmartPhone,-5%,500+ bought in past month
Apple iPhone 15 (128 GB) - Black,"61,400.00",4.5 out of 5 stars,"3,253 ratings",In stock,Apple,SmartPhone,-23%,5K+ bought in past month
"Nothing Phone (2a) 5G (Black, 8GB RAM, 128GB Storage) | 6.7"" AMOLED Display | 50MP (OIS) + 50 MP | 32 MP Front | Mediatek Dimensity 7200 Pro Processor | Glyph Interface | 45 W Charging 100% in 59 mins","19,489.00",4.2 out of 5 stars,215 ratings,In stock,Nothing,SmartPhone,-25%,2K+ bought in past month
CMF BY NOTHING Phone 1 5G (128 GB) (8 GB RAM) (Black),"15,499.00",4.1 out of 5 stars,179 ratings,In stock,CMF BY NOTHING,SmartPhone,-30%,1K+ bought in past month
"Samsung Galaxy M35 5G (Daybreak Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger","16,998.00",4.1 out of 5 stars,"8,097 ratings",In stock,Samsung,SmartPhone,-31%,5K+ bought in past month
CMF BY NOTHING Phone 1 5G (128 GB) (6 GB RAM) (Black),"14,259.00",4.1 out of 5 stars,362 ratings,In stock,CMF BY NOTHING,SmartPhone,-29%,2K+ bought in past month
Apple iPhone 15 (128 GB) - Blue,"61,400.00",4.5 out of 5 stars,"3,253 ratings",In stock,Apple,SmartPhone,-23%,3K+ bought in past month
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,498.00",4.0 out of 5 stars,"2,557 ratings",In stock,Samsung,SmartPhone,-35%,2K+ bought in past month
POCO C61 Ethereal Blue 4GB RAM 64GB ROM,"5,799.00",3.9 out of 5 stars,563 ratings,In stock,POCO,SmartPhone,-36%,5K+ bought in past month
"Nothing Phone (3A) 5G (Black, 8GB RAM, 256GB Storage)","26,700.00",4.1 out of 5 stars,15 ratings,In stock,Not Available,SmartPhone,-11%,Not Available
