title,price,rating,reviews,availability,brand,category,off,bought,discount_amount
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",34990.0,3.0,1,In stock,Lenovo,Laptop,-42.0,0,-14695.8
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Starlight",99900.0,0.0,0,In stock,Apple,Laptop,,0,0.0
"Lenovo V15 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Iron Grey/1.7 kg/MS Office 2021 Pro Plus",32980.0,4.2,4,In stock,Lenovo,Laptop,-60.0,50,-19788.0
"Acer Aspire Lite, AMD Ryzen 5 5625U Processor(16GB RAM/512GB SSD) Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Premium Metal Body, Thin and Light Laptop",34490.0,4.0,1,In stock,acer,Laptop,-42.0,1,-14485.8
"Lᥱnovo ThinkPad Touch Screen T490 Laptop Intᥱl Core i7 8th Gen 14-inch Full HD Thin and Light (512GB SSD/16GB RAM/Win 10 pro), (Rᥱfurbishᥱd) Black",22990.0,0.0,0,In stock,Generic,Laptop,-8.0,0,-1839.2
"Lenovo V15 Thin & Light Laptop, 15.6"" FHD Display, Intel Core i5 12th Gen (1235U), 16GB DDR4 RAM, 512GB SSD, Webcam, HDMI, Wi-Fi-6, Windows 11, Intel Iris Xe Graphics, Black,1 Year Brand Warranty",43490.0,3.9,9,In stock,Lenovo,Laptop,-56.0,50,-24354.4
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue",12990.0,3.0,345,In stock,Jio,Laptop,-48.0,100,-6235.2
"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty",37970.0,3.0,3,In stock,Lenovo,Laptop,-14.0,200,-5315.8
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu",33999.0,4.2,705,In stock,HP,Laptop,-33.0,500,-11219.67
"Acer Aspire 3, Intel Celeron N4500 Processor(8GBRAM /512GB SSD) HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45 Thin and Light Laptop",23990.0,3.4,269,In stock,acer,Laptop,-29.0,200,-6957.099999999999
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Silver",164900.0,0.0,0,Only 2 left in stock.,Apple,Laptop,,0,0.0
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue",99900.0,5.0,1,In stock,Apple,Laptop,,0,0.0
"HP 255 G10 AMD Ryzen 5 Quad Core 7520U 2.8Ghz Upto 4.3Ghz - (8 GB/512 GB SSD) 255 G10 Thin and Light Laptop (15.6 inch, Matt Silver, 1.45 kg)",29928.0,3.1,19,In stock,HP,Laptop,-29.0,100,-8679.119999999999
"Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG",26990.0,4.0,1,In stock,acer,Laptop,-40.0,300,-10796.0
"ASUS Vivobook 16, Intel Core i5-12500H, 16GB RAM, 512GB SSD, FHD+ 60Hz 300Nits, 16"", Windows 11, MS Office Home, Transparent Silver, 1.88KG, X1605ZAC-MB541WS, Fingerprint, 42Whr Battery Laptop",53590.0,4.0,94,In stock,ASUS,Laptop,-23.0,500,-12325.7
"ASUS TUF Gaming A15, AMD Ryzen 7 7435Hs, NVIDIA Geforce RTX 3050, 16GB RAM, 512GB SSD, FHD 144Hz, 15.6"", Windows 11, Graphite Black, 2.3KG, FA506NCR-HN054W, 48WHR Gaming Laptop",67990.0,3.9,478,In stock,ASUS,Laptop,-19.0,500,-12918.1
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam",16990.0,3.5,3,In stock,Chuwi,Laptop,-51.0,100,-8664.9
"Lenovo IdeaPad Slim 1 Intel® Celeron® N4020 15.6 inch (39.6cm) Thin & Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home & Student 2024/1Yr ADP Free/Cloud Grey/1.54Kg), 82V700L2IN",24185.0,2.9,4,In stock,Lenovo,Laptop,-40.0,300,-9674.0
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN",44990.0,4.0,94,In stock,Lenovo,Laptop,-55.0,400,-24744.500000000004
"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue",19990.0,2.9,21,In stock,acer,Laptop,-44.0,50,-8795.6
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 16GB Unified Memory, 256GB) - Midnight",124900.0,0.0,0,In stock,Apple,Laptop,,0,0.0
"Apple 2025 MacBook Air (15-inch, Apple M4 chip with 10-core CPU and 10-core GPU, 24GB Unified Memory, 512GB) - Sky Blue",164900.0,0.0,0,In stock,Apple,Laptop,,0,0.0
"ASUS ROG Zephyrus G16, Gaming Laptop, Intel Core Ultra 9 185H, Built-in AI, NVIDIA GeForce RTX 4070,16"" 2.5K QHD+ (40.64cm) 240Hz (32GB/1TB SSD/Win 11/Office 2021/Grey/1.85 kg), GU605MI-QP253WS",209990.0,2.5,4,Only 2 left in stock.,ASUS,Laptop,-17.0,0,-35698.3
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11/MS Office,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",25990.0,2.6,9,In stock,Lenovo,Laptop,-74.0,300,-19232.6
"Acer ALG Intel Core i5-13th Gen 13420H Processor, NVIDIA GeForce RTX 3050-6GB DDR6(16 GB RAM/512GB SSD) FHD, 15.6""/39.62cm, 144Hz,Windows 11 Home, Steel Gray, 1.99kg, AL15G-53, Gaming Laptop",64990.0,0.0,0,In stock,Acer,Laptop,-13.0,0,-8448.7
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey",39990.0,4.0,94,In stock,Lenovo,Laptop,-32.0,300,-12796.800000000001
"HP Victus, 13th Gen Intel Core i7-13620H, 8GB NVIDIA RTX 4060, 16GB DDR4, 1TB SSD (Win11, Office21, Silver, 2.29kg), 144Hz, 9MS, IPS, 15.6-inch(39.6cm), FHD Gaming Laptop, Enhanced Cooling, fa1333TX",90990.0,3.3,20,In stock,HP,Laptop,-28.0,200,-25477.2
"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1315U - (8GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" (39.62cm)/Ash Grey/1.57 kg",31250.0,4.1,7,In stock,HP,Laptop,-43.0,200,-13437.5
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Midnight",99900.0,3.0,2,In stock,Apple,Laptop,,0,0.0
"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg) Anti-glare, Micro-edge, 15.6-inch(39.6cm) FHD laptop, Intel UHD Graphics, HD camera, Backlit KB, fq5327tu",38490.0,4.0,1,In stock,HP,Laptop,-25.0,200,-9622.5
"HP 15, AMD Ryzen 3 7320U, 8GB LPDDR5, 512GB SSD, Anti-Glare, Micro-Edge, 15.6-inch (39.6 cm), FHD, AMD Radeon Graphics, 1080p HD Camera, (Win 11, Silver, 1.59 kg), fc0154AU",30990.0,4.0,1,In stock,HP,Laptop,-33.0,300,-10226.7
