title,price,rating,reviews,availability,brand,category,off,bought
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","34,990.00",3.0 out of 5 stars,1 rating,In stock,Lenovo,Laptop,-42%,Not Available
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Starlight","99,900.00",Previous page,,In stock,Apple,Laptop,Not Available,Not Available
"Lenovo V15 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Iron Grey/1.7 kg/MS Office 2021 Pro Plus","32,980.00",4.2 out of 5 stars,4 ratings,In stock,Lenovo,Laptop,-60%,50+ bought in past month
"Acer Aspire Lite, AMD Ryzen 5 5625U Processor(16GB RAM/512GB SSD) Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Premium Metal Body, Thin and Light Laptop","34,490.00",4.0 out of 5 stars,"1,121 ratings",In stock,acer,Laptop,-42%,1K+ bought in past month
"Lᥱnovo ThinkPad Touch Screen T490 Laptop Intᥱl Core i7 8th Gen 14-inch Full HD Thin and Light (512GB SSD/16GB RAM/Win 10 pro), (Rᥱfurbishᥱd) Black","22,990.00",Previous page,,In stock,Generic,Laptop,-8%,Not Available
"Lenovo V15 Thin & Light Laptop, 15.6"" FHD Display, Intel Core i5 12th Gen (1235U), 16GB DDR4 RAM, 512GB SSD, Webcam, HDMI, Wi-Fi-6, Windows 11, Intel Iris Xe Graphics, Black,1 Year Brand Warranty","43,490.00",3.9 out of 5 stars,9 ratings,In stock,Lenovo,Laptop,-56%,50+ bought in past month
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue","12,990.00",3.0 out of 5 stars,345 ratings,In stock,Jio,Laptop,-48%,100+ bought in past month
"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty","37,970.00",3.0 out of 5 stars,3 ratings,In stock,Lenovo,Laptop,-14%,200+ bought in past month
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu","33,999.00",4.2 out of 5 stars,705 ratings,In stock,HP,Laptop,-33%,500+ bought in past month
"Acer Aspire 3, Intel Celeron N4500 Processor(8GBRAM /512GB SSD) HD, 15.6""/39.62cm, Windows 11 Home, Pure Silver, 1.5KG, A325-45 Thin and Light Laptop","23,990.00",3.4 out of 5 stars,269 ratings,In stock,acer,Laptop,-29%,200+ bought in past month
